Name,Description,Adipose - Subcutaneous,Adipose - Visceral (Omentum),Adrenal Gland,Artery - Aorta,Artery - Coronary,Artery - Tibial,Bladder,Brain - Amygdala,Brain - Anterior cingulate cortex (BA24),Brain - Caudate (basal ganglia),Brain - Cerebellar Hemisphere,Brain - Cerebellum,Brain - Cortex,Brain - Frontal Cortex (BA9),Brain - Hippocampus,Brain - Hypothalamus,Brain - Nucleus accumbens (basal ganglia),Brain - Putamen (basal ganglia),Brain - Spinal cord (cervical c-1),Brain - Substantia nigra,Breast - Mammary Tissue,Cells - Cultured fibroblasts,Cells - EBV-transformed lymphocytes,Cervix - Ectocervix,Cervix - Endocervix,Colon - Sigmoid,Colon - Transverse,Esophagus - Gastroesophageal Junction,Esophagus - Mucosa,Esophagus - Muscularis,Fallopian Tube,Heart - Atrial Appendage,Heart - Left Ventricle,Kidney - Cortex,Kidney - Medulla,Liver,Lung,Minor Salivary Gland,Muscle - Skeletal,Nerve - Tibial,Ovary,Pancreas,Pituitary,Prostate,Skin - Not Sun Exposed (Suprapubic),Skin - Sun Exposed (Lower leg),Small Intestine - Terminal Ileum,Spleen,Stomach,Testis,Thyroid,Uterus,Vagina,Whole Blood
ENSG00000235947.1,EGOT,0.0923144,0.108767,0.208892,0.125122,0.11789,0.127786,0.167323,0,0,0.0263483,0.0239682,0.042716,0,0.0133589,0,0.0203853,0,0.0137535,0,0,0.812411,0,2.94025,0.259683,0.142756,0.0965953,0.0373531,0.0868255,0.602755,0.103359,0.175601,0.0690085,0.0283735,3.69372,6.74831,0.0507122,0.142186,0.438012,0,0.115365,0.179749,0.696752,1.46946,0.558728,0.166364,0.156006,0.119438,0.0524258,0.0271192,0.0261562,0.29746,0.207659,0.772804,0
ENSG00000275981.1,AC018816.1,0,0,0.0829884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.305281,0,0.616905,0,0,0,0,0,0.152071,0,0,0,0,0.814719,1.06277,0,0,0.0734948,0,0,0,0.181931,0.595195,0.205998,0,0,0,0,0,0,0.0945529,0,0.210026,0
ENSG00000235978.6,AC018816.3,0.94372,0.955395,0.285561,0.677945,0.911628,0.707278,0.553276,0.379274,0.382127,0.353376,0.405913,0.373648,0.385242,0.45989,0.358804,0.425731,0.602598,0.302877,0.588438,0.349891,1.28631,0.160053,0.180528,1.07779,0.982319,0.495623,0.377952,0.420101,1.34767,0.462883,0.736731,1.32449,0.532169,0.542934,0.879527,0.203694,0.971824,0.481009,0.358772,1.07118,0.388318,0.124729,0.746111,0.856657,0.511134,0.539121,0.496701,0.501417,0.22959,1.46308,0.866841,0.787028,1.69048,0.185982
ENSG00000235831.6,BHLHE40-AS1,1.93913,2.29108,2.56846,1.72258,1.83182,1.95607,2.29185,0.424622,0.526541,0.963046,0.635047,0.666115,1.02174,1.02664,0.428557,0.461269,1.32273,0.66496,0.460841,0.370586,3.23384,0.201766,0.899114,2.40893,2.49578,1.03733,0.757832,0.950086,4.04228,0.966225,2.2714,0.908746,0.229422,1.18475,1.68166,0.560611,2.3983,2.09265,0.558735,2.95639,2.07457,1.00281,2.4913,2.3506,2.64794,2.37008,1.26298,1.69009,0.488407,0.307383,1.99479,1.32985,5.99212,0.477401
ENSG00000134107.4,BHLHE40,257.472,254.671,122.072,224.704,172.035,395.897,288.749,35.7356,46.1573,44.0256,22.4482,28.133,70.474,76.9923,33.6921,34.7434,44.2471,36.3328,50.9462,34.1284,329.109,41.2675,166.347,179.507,175.38,105.602,52.6755,71.4234,463.787,77.1628,140.295,119.052,28.7851,112.634,174.458,103.236,218.618,141.954,182.03,289.903,137.878,33.9469,172.67,154.036,316.415,355.422,63.2685,40.7651,41.8582,29.6134,128.46,100.919,503.65,41.455
ENSG00000230182.1,RNF10P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000224082.1,UBTFL8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0443816,0,0,0,0
ENSG00000207283.1,Y_RNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000237566.1,AC090955.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000134108.12,ARL8B,69.8501,60.7274,59.7997,84.654,80.125,97.5205,79.0401,54.8595,71.1918,61.7782,105.189,66.502,61.0499,113.275,52.0754,67.7248,65.2915,48.1899,81.4406,50.9375,65.9352,106.911,74.7824,81.8999,80.2265,66.9035,43.7248,63.7204,102.253,64.5658,70.3831,35.3706,28.5747,28.5342,42.1059,21.9883,81.1725,57.189,70.964,74.1247,67.7288,19.3433,51.2403,58.2536,111.572,112.46,45.3478,50.5701,35.3517,47.6011,78.0114,84.6673,103.458,26.8632
ENSG00000233912.1,AC026202.3,0.337031,0.632894,0.95343,0.766199,0.841204,0.348858,0.356324,0.490077,0.468142,0.591442,0.148027,0.241283,0.455319,0.500597,0.46031,0.515704,0.536502,0.4862,1.22138,0.656218,0.446031,0.574864,3.66691,0.535063,0.706905,0.294049,0.600511,0.253379,0.305222,0.242871,0.72986,0.772162,0.813507,0.396567,1.0032,1.96526,0.656236,1.01327,0.414144,0.632151,0.593678,1.37399,1.92789,0.809044,0.187827,0.173718,0.630808,0.883386,0.480974,3.76949,1.99392,0.608404,0.440667,0.0554344
ENSG00000268509.2,RP11-572B2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0862632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.313357,0,0,0,0
ENSG00000134109.10,EDEM1,21.7544,20.0583,17.5764,22.2814,22.427,21.3375,19.9943,4.05679,4.9735,6.37539,13.2061,13.3592,7.27964,7.15272,4.22799,5.20162,8.0489,4.8793,5.61129,3.82325,22.7887,47.8439,167.758,29.7584,28.2928,14.298,18.0623,14.6903,26.3888,13.6821,30.3386,7.08227,4.11124,8.83308,12.0096,42.8479,50.4598,23.5869,4.81785,24.2396,29.3544,18.2206,20.3628,22.0377,32.8198,31.9437,30.4271,43.6509,17.634,20.542,25.171,31.2317,28.4051,14.4161
ENSG00000265180.1,MIR4790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000241227.3,RN7SL553P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000230944.1,AC026202.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.375126,0,0,0,0
ENSG00000229642.1,AC027119.1,0,0,0,0,0,0,0.701801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0433283,0,0,0,0,0,0,0,0,0.0713785,0.0356037,0,0,0,0,0,0,0.0562034,0,0,0,0,0,0,0,0.642919,0,0,0,0
ENSG00000226022.1,AC026167.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103222,0,0,0,0,0,0,0,0.114644,0,0,0,0
ENSG00000232958.1,AC091069.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000189229.10,AC069277.2,0,0,0,0,0,0,0.0188025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146218,0.0499589,0.0399752,0,0.0359398,0,0.0381995,0,0,0.0122099,0,0.0110267,0.0110003,0,0,0.0231395,0,0,0,0.00912593,0.0371832,0,0,0,0.0239395,0.0290785,0,0.782019,0.0377991,0,0.0184464,0
ENSG00000226258.6,GRM7-AS3,0,0,0,0,0,0,0,0,0.00874303,0.00462059,0,0,0.00907567,0.00788252,0.0106815,0.0105569,0.0325941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.17238,0,0,0,0
ENSG00000223719.1,AC024162.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0949142,0,0,0,0
ENSG00000196277.15,GRM7,0.228438,0.0629147,0.0394298,0.411457,0.0610875,0.232133,0.319211,1.76188,2.59864,1.53823,0.464428,0.924664,3.10672,4.88367,2.17629,3.71489,2.71519,1.02933,0.47002,0.623721,0.132036,0,0,0.912153,0.574515,0.0382195,0.0447447,0.109969,0,0.0308341,0.0669466,0,0,0.0106648,0.00906394,0.0172246,0.0613015,0.0446516,0,0.0468423,0.126551,0.013041,0.0518023,0.175859,0.035485,0.0488944,0.0394221,0,0.0218218,1.77765,0.0986699,0.543993,0.212224,0
ENSG00000236152.1,MRPS36P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135318,0,0,0,0,0,0,0,0,0.136132,0.17257,0,0.154504,0,0,0,0.151858,0,0,0,0,0,0,0,0,0,0,0.111056,0,0,0,0
ENSG00000237665.1,GRM7-AS2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128864,0,0,0,0,0,1.34576,0,0,0,0
ENSG00000236202.1,GRM7-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0.0906971,0.0666724,0,0,0.0344941,0,0.153113,0.0677319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0807217,0,0,0,0,0.172405,0.184563,0,0,0,0.16624,0,0,0,0
ENSG00000270207.1,RP11-157E16.1,0,0,0,0,0,0,0,0.231566,0.150124,0.172295,0.213382,0.267762,0.125794,0.118831,0.228287,0.264284,0.198092,0.144035,0.97554,0.471428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135916,0,0,0.0461402,0,0,0,0,0,0,0.296125,0,0,0,0
ENSG00000227110.6,LMCD1-AS1,0.246217,0.162707,0.0644218,0.227678,0.201721,0.264616,0.130457,0.409958,0.289637,0.336164,0.231036,0.378273,0.286597,0.28259,0.510088,0.489207,0.299264,0.318678,2.22184,0.854242,0.201142,0.156597,0.0311965,0.20311,0.217201,0.0916814,0.0502236,0.085192,0.145695,0.0843821,0.175033,0.129302,0.0546112,0.124427,0.186906,0.0519803,0.186128,0.172614,0.0388506,0.882994,0.517511,0.066045,0.436354,0.22951,0.140282,0.168064,0.0445825,0.0775397,0.0686629,0.291513,0.149294,0.219941,0.273414,0
ENSG00000228351.1,AC018832.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.347018,0,0,0,0
ENSG00000253081.1,RNU4ATAC17P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000231401.1,AC023481.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0666422,0,0.0880568,0,0,0,0,0,0,0,0,0,0.592278,0,0,0,0
ENSG00000071282.11,LMCD1,44.2239,30.4504,1.89498,138.143,32.9904,53.4791,22.0793,1.12346,1.12642,1.06911,2.87773,3.52811,1.18015,0.997104,1.77085,1.51312,0.922541,1.03728,3.96811,1.9559,31.2092,36.3022,1.06491,13.447,11.8673,4.07194,3.25371,7.43315,5.9647,8.00129,24.8978,8.43709,4.44293,3.61997,6.97604,1.04164,53.9098,13.0759,39.5941,17.2349,24.4989,2.14323,2.02142,9.1675,7.8782,9.50448,4.63804,17.1359,6.17853,4.91234,7.91865,26.6158,10.5374,0.0907297
ENSG00000224884.1,AC034187.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0555403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000125046.14,SSUH2,0.517362,0.364567,0.133516,0.200563,0.379062,0.113931,0.235621,0.176975,0.223352,0.318652,0.101481,0.113237,0.286155,0.256729,0.211018,0.209645,0.358396,0.276263,0.193105,0.217622,0.656612,0.0333283,0.0646843,0.234497,0.491349,0.315498,0.449055,0.520824,0.252579,0.527475,0.583726,0.496558,0.499941,0.428193,0.424696,0.0902298,0.111628,0.31961,0.0853375,0.319939,0.361087,0.0694094,0.136865,0.369303,0.19408,0.225772,1.87599,1.23929,0.284798,16.8652,1.00523,0.332738,0.316918,0
ENSG00000215160.2,OR7E122P,0,0,0,0,0,0,0,0,0,0.027009,0,0,0,0,0,0,0.0414022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.75173,0,0,0,0
ENSG00000182533.6,CAV3,0.153751,0.30709,0.0256451,0.0616977,3.96763,2.06812,0.126835,0.042024,0.0765374,0.0919669,0.0763715,0.212862,0.068993,0.057974,0.0367588,0.107159,0.126939,0.0682891,0.035734,0.169081,0.250822,0.0331435,0.0653747,0.0538906,0.0661693,0.116578,0.124459,0.164935,0.0548598,0.127165,0.185842,10.3902,13.0291,0.0156629,0.00850047,0,1.00108,0.178455,46.4796,0.266703,0.0598729,0,0,0.723604,0.149521,0.154277,0.108155,0.12363,0.0884939,0.771093,0.0925289,0.087592,0.335915,0
ENSG00000180914.10,OXTR,0.189241,0.298291,0.267165,1.21843,0.703631,0.426777,0.295602,1.49573,2.94286,2.6533,1.41259,1.35605,1.99956,1.99621,1.6249,4.43293,6.01157,2.37526,2.6527,6.18557,12.3681,2.37101,13.7443,0.480873,1.07698,0.350919,0.296118,0.353124,0.803952,0.475338,0.925045,0.398578,0.216751,0.293021,0.570794,0.104608,0.646758,0.310715,0.153823,0.776037,1.72314,0.0876582,0.534692,1.36088,0.227065,0.181126,0.334224,0.628985,0.172053,0.711735,0.600805,0.873289,0.391094,0.0647339
ENSG00000070950.9,RAD18,4.57794,3.09717,3.12647,3.14636,3.56352,4.12911,4.08353,0.895737,1.01882,1.03061,5.26494,4.56963,1.44382,1.67486,1.05435,1.30006,1.22557,0.879033,2.03952,1.21544,5.5538,6.37463,15.7908,6.18,5.45993,3.65174,3.89172,3.51686,4.09577,3.63132,4.45825,1.26799,0.629981,1.34987,1.5459,1.47753,4.77194,4.45014,0.756831,5.83543,5.44357,1.03657,2.20547,5.61334,5.15798,6.06358,4.32643,5.15447,2.57896,5.85619,5.57347,5.88921,5.39287,0.991639
ENSG00000281863.1,SNORA43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000196220.15,SRGAP3,0.777341,0.623192,3.75302,0.557473,0.664242,0.411118,1.55518,7.64226,11.797,6.37952,50.8498,54.4076,19.0913,18.8461,8.26505,10.8699,7.99689,4.49107,6.69827,6.26156,1.41728,0.485747,0.767875,1.66921,3.53111,1.39478,1.16813,0.745893,2.75501,0.70453,7.60475,0.531686,0.947423,1.42157,2.87437,0.259865,1.13987,5.38201,0.503406,2.76847,4.52405,0.503492,9.87449,6.35977,4.81929,5.13932,1.2431,0.871322,1.46355,7.09284,4.60163,2.71881,2.55765,0.0800906
ENSG00000224808.1,SRGAP3-AS1,0,0,0,0,0,0,0,0,0,0,0.0597108,0.130796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.20867,0,0,0,0
ENSG00000228723.6,SRGAP3-AS2,0,0,0.416571,0,0,0,0,0,0,0,0.155278,0.266135,0,0,0,0,0,0,0,0,0,0,0,0.0455763,0.0351814,0,0,0,0,0,2.35656,0,0,0.0135152,0.0501692,0,1.68794,0.0233573,0,0,0,0,0.98805,0.0211473,0.0323702,0.0295311,0,0,0,0.133968,0,0,0,0
ENSG00000227929.4,SRGAP3-AS3,0,0,0,0,0,0,0,0,0,0,0.095058,0.247978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.67933,0,0,0,0
ENSG00000235830.1,SRGAP3-AS4,0,0,0.241721,0,0,0,0,0.333168,0.339646,0.325764,0.230611,0.242309,0.250702,0.317428,0.289028,0.356689,0.445408,0.288154,0.700895,0.383436,0,0,0,0,0,0,0,0,0,0,0,0.214971,0.984769,0,0.707783,0,0,0.260078,0,0.106425,0,0,0.719705,0.197653,0,0,0,0,0,0.26242,0.296015,0,0,0
ENSG00000254485.5,RP11-380O24.1,0.113389,0.0772229,0.247292,0.115426,0.112963,0.110069,0.168011,0.113949,0.117012,0.186818,0.215856,0.179586,0.117788,0.12737,0.139336,0.132749,0.140143,0.135645,0.151704,0.139146,0.248269,0.193479,0.189236,0.151451,0.259809,0.259232,0.307851,0.180482,0.0500802,0.157263,0.261166,0.106136,0.0741955,0.157281,0.274435,0.157847,0.218459,0.274328,0.108448,0.190104,0.152884,0.222016,0.7668,0.688333,0.185918,0.206402,0.275778,0.19859,0.305645,2.29358,1.81625,0.169869,0.0741565,0
ENSG00000214041.4,PGAM1P4,0,0,0,0,0,0,0,0.0455307,0.529403,0,0,0,0.132711,0.135166,0.106598,0.0394715,0.0391657,0,0,0,0,0,0.052194,0,0.0556629,0,0,0,0,0,0.0703531,0,0,0,0,0,0,0,0,0,0,0,0.0764421,0,0,0,0,0,0,0.0634063,0.217638,0,0,0
ENSG00000134077.15,THUMPD3,14.6493,12.0075,14.6637,14.0438,14.8077,15.641,17.3442,7.09436,7.84384,7.56168,14.827,12.9561,9.3328,10.6873,6.30722,9.02576,8.13141,6.70314,11.0916,8.44364,14.457,29.6034,29.0486,15.8333,17.6175,14.4211,12.405,13.7037,13.9591,14.2694,16.1028,9.11085,8.54307,7.06831,11.9951,6.95011,13.8178,14.6785,12.1829,18.1767,14.9514,5.87814,18.5637,16.1295,14.5075,14.483,12.8235,11.6642,10.2365,55.6337,18.4375,16.6264,14.8888,2.92912
ENSG00000206573.8,THUMPD3-AS1,7.9453,5.87793,7.11173,11.1979,10.0006,10.9038,10.3582,4.301,4.88674,5.09412,11.4379,10.8633,5.8519,5.9225,4.79445,5.9768,6.136,3.88058,6.55569,4.76437,8.32535,9.60646,14.0491,12.336,14.751,9.73247,8.38189,8.46934,6.83382,7.92842,11.6033,3.61309,2.57816,5.66923,10.9547,4.1557,10.4538,14.2506,4.69407,16.2566,15.4757,4.51449,23.7252,15.2491,7.458,8.33442,9.79746,10.6993,7.12676,16.1257,22.9504,14.3044,10.7417,1.72747
ENSG00000168137.15,SETD5,38.1283,34.0231,31.491,42.3385,36.2353,39.6804,44.4512,13.2674,15.1579,14.1689,74.8468,79.3874,20.7669,18.9434,13.6683,15.0768,14.8581,11.0006,14.2982,12.0672,39.871,41.669,51.5838,52.8409,57.4354,46.9279,29.759,40.7564,29.3002,39.0639,56.1209,17.1047,10.4476,12.7444,21.1745,15.2728,52.3764,37.683,15.7439,53.5022,58.7089,14.7787,42.8731,42.6974,42.4735,44.277,33.3484,35.2411,23.8135,32.9004,57.3084,61.3071,48.0507,10.8451
ENSG00000156959.8,LHFPL4,0.0470005,0.0729098,0.0897787,0.0921893,0.0801746,0.0741023,0.0452857,9.46847,14.5531,12.0729,35.5378,33.3053,20.2543,23.7062,9.40583,16.0139,16.4125,9.78603,7.87206,5.46969,0.0662103,0.0474222,0.0342562,0.120447,0.106219,0.459775,0.332322,0.118076,0.106978,0.12466,0.0945065,0.0260966,0.0126376,0.0390386,0.0659418,0.0200723,0.0883435,0.0761185,0.0154801,0.113093,0.0682674,0.356895,25.318,0.10528,0.163884,0.185946,0.253402,0.0417137,0.273282,1.78825,0.118618,0.116838,0.0747418,0.0176557
ENSG00000235338.1,DUSP5P2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0268609,0,0,0.0691441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.078372,0.122413,0,0,0
ENSG00000163719.19,MTMR14,30.6639,21.6239,21.5923,20.1921,21.7329,22.8324,23.8814,7.80259,8.66375,8.82039,28.9135,27.4513,12.0634,12.032,7.70727,10.5825,8.10078,8.0607,12.2828,9.30021,26.3374,22.8253,35.6893,29.4844,26.5351,18.4214,18.0532,17.3036,18.9037,16.8932,25.6836,22.9763,18.2523,13.6368,17.642,10.5623,33.0358,18.4106,28.7623,35.2955,24.4122,6.59992,18.9153,23.004,25.0695,29.3722,23.2584,43.0649,15.6306,35.1511,30.4475,29.7602,23.8612,40.8651
ENSG00000144550.12,CPNE9,0.164142,0.223246,2.57477,0.140847,0.156873,0.100206,0.138525,1.60313,10.5317,2.15077,70.3134,74.3883,34.5392,29.5001,0.99046,6.90922,1.32511,2.3129,1.69922,1.49577,0.145152,0.0304092,0.0422806,0.152944,0.12511,0.71877,0.347727,0.228663,0.103572,0.252874,0.221762,0.0765989,0.0273499,0.11469,0.298963,0.0348278,0.326061,0.12507,0.0352163,0.239213,0.175173,0.0762801,8.43058,0.195937,0.896286,1.1915,0.428442,0.371319,0.31093,2.17786,0.164475,0.271311,0.171276,0.180551
ENSG00000156983.15,BRPF1,13.9133,12.3554,9.15247,13.8814,13.3488,14.0484,15.2905,3.03641,3.60923,5.14191,20.2493,21.3939,6.38557,5.09581,3.57496,3.77386,5.04156,4.53451,4.81723,3.36378,13.6926,14.4429,15.742,18.0107,18.2587,14.186,10.7995,14.672,12.0854,14.0974,19.2634,5.31942,4.05052,5.64776,8.1866,3.508,16.1009,13.3955,6.92915,17.1673,19.2523,4.58759,12.5859,14.7616,16.3946,17.6925,12.9129,17.6054,9.0129,32.4053,20.078,22.1065,15.0092,5.99461
ENSG00000114026.21,OGG1,11.8906,10.6312,10.1005,13.8828,13.8896,13.489,14.2934,7.27368,8.57147,8.83684,13.6733,13.9556,8.93261,8.7015,6.9366,6.72554,8.10414,7.17124,9.2229,6.28285,12.466,16.144,12.0686,21.6901,22.5476,13.4742,10.8839,13.0819,6.95141,12.4307,17.8747,5.27691,2.91525,13.8523,11.5107,6.74036,11.8343,8.26055,2.71334,19.5902,23.6253,3.44237,10.8783,15.8494,7.75944,7.959,13.7258,12.93,7.99869,10.5172,15.519,23.2989,14.7078,6.38379
ENSG00000134072.10,CAMK1,70.4848,79.7751,124.663,72.9353,71.0024,75.8818,52.591,49.2766,55.7827,65.9991,57.6241,53.7528,72.6331,79.8518,43.4173,36.9594,69.7296,49.5528,11.9587,23.1416,58.1005,32.715,4.08076,67.9393,61.9971,59.8467,30.445,69.8707,10.5679,61.4786,73.6221,17.1826,9.47915,26.3629,29.7853,24.3294,47.8102,15.1732,4.01237,62.5534,81.8155,5.79914,39.406,59.1755,11.0246,13.1632,21.7165,26.0779,19.6919,66.5794,44.127,76.8025,34.3057,20.452
ENSG00000171148.13,TADA3,50.5508,45.4538,74.12,77.9462,67.3377,66.6459,70.975,42.967,50.7736,44.6162,40.1566,41.9928,53.9423,54.4216,41.1362,45.4002,43.9482,39.2169,39.8791,39.6093,51.019,71.3999,55.298,73.3531,78.4936,68.5544,49.5869,59.4099,41.0063,57.6104,74.5123,32.0649,25.1571,34.8667,39.3225,30.8671,63.0172,40.9716,35.5184,69.3437,90.0599,16.4941,74.6195,84.5192,38.6385,41.9805,48.7086,62.4773,41.0652,107.929,73.0452,90.6547,55.3986,51.8401
ENSG00000241553.12,ARPC4,111.896,97.6699,90.4217,150.168,135.608,140.078,107.507,49.8873,66.2402,55.5517,62.807,63.003,73.0924,83.2644,57.0063,57.8782,61.9073,47.0919,59.3993,46.3846,102.259,144.588,207.491,115.636,109.031,94.2321,94.0285,103.044,121.769,98.6312,106.492,40.5256,26.8986,63.7481,86.571,35.359,124.222,75.1574,42.2429,115.982,95.0876,28.0919,70.5988,103.821,101.904,109.911,102.562,164.542,68.0705,64.3999,107.397,126.688,110.927,230.967
ENSG00000214021.15,TTLL3,49.3765,34.3669,26.0746,37.2969,38.6532,33.8033,43.592,12.1056,11.7056,15.1629,20.2868,23.9233,17.2484,13.2991,12.3551,16.0023,16.3839,11.4256,21.7239,11.9069,47.4222,21.1518,24.3283,73.8602,110.392,43.5653,28.6828,39.3872,19.4639,34.8939,91.6196,18.5833,7.27974,20.3472,22.9931,5.90278,43.8668,28.8586,5.84846,88.4599,116.309,9.69444,66.1341,67.6269,35.9945,37.7714,33.2205,47.3934,20.9471,76.104,61.8907,67.0296,67.7202,32.7248
ENSG00000269886.1,RP11-266J6.2,0.811411,0.670406,0.59191,0.874609,0.874616,0.942427,1.57016,0.532647,0.502287,0.729888,5.35631,5.04493,0.658634,0.569933,0.488238,0.521518,0.687021,0.697744,0.711826,0.492265,1.02826,0.294191,0.239323,1.63483,2.24972,1.6783,0.694939,1.77956,0.3505,1.74395,2.85319,0.43931,0.298341,0.384536,0.540825,0.186458,0.756335,0.505097,0.275471,1.87521,2.08733,0.13727,0.819505,1.61677,1.08642,1.12459,0.599555,1.02124,0.41842,2.32073,0.864181,1.77664,1.08725,0.232007
ENSG00000156990.14,RPUSD3,15.9732,13.6564,19.8231,17.3795,18.5883,19.0115,22.1198,10.929,14.5002,12.8832,27.5511,24.6593,18.1811,20.5253,10.5558,13.4481,14.4572,10.5458,10.008,9.17637,16.9157,23.6876,31.4096,21.127,21.4529,21.4474,15.5903,20.7291,20.9246,21.4769,22.214,12.0876,11.3733,11.0115,13.3829,9.57655,16.6414,14.4283,22.7398,22.1686,19.67,7.53472,19.7454,20.2424,19.9381,20.657,16.1527,18.111,13.3829,56.1357,18.19,24.06,20.4292,7.92902
ENSG00000187288.10,CIDEC,908.893,575.422,1.01345,0.821536,20.3506,1.02928,4.90096,0.214422,0.166748,0.376837,0.120484,0.163486,0.276458,0.237544,0.153852,0.155519,0.419841,0.260722,0.208681,0.174822,331.192,1.81023,0.392986,3.37312,0.661313,4.7895,6.70409,0.973631,0.178563,0.626241,3.51253,0.849032,0.455368,0.126468,0.0665166,0.856313,0.227021,8.3781,1.85188,30.9453,0.318873,0.602792,0.166315,1.14366,3.15276,10.1633,45.0394,0.173377,2.47703,1.7504,0.928639,2.27498,1.66917,0.175232
